"time_point","num_antibody_positive","date","num_antibody_total","percent_positive"
1,6,2021-04-23,55,0.109090909090909
2,1,2021-04-24,29,0.0344827586206897
3,3,2021-04-25,17,0.176470588235294
4,2,2021-04-26,53,0.0377358490566038
5,5,2021-04-27,34,0.147058823529412
6,7,2021-04-28,29,0.241379310344828
7,1,2021-04-29,18,0.0555555555555556
25,10,2021-05-17,85,0.117647058823529
26,2,2021-05-18,31,0.0645161290322581
27,1,2021-05-19,24,0.0416666666666667
28,3,2021-05-20,46,0.0652173913043478
29,0,2021-05-21,20,0
30,1,2021-05-22,21,0.0476190476190476
31,0,2021-05-23,5,0
56,5,2021-06-17,38,0.131578947368421
57,1,2021-06-18,15,0.0666666666666667
58,0,2021-06-19,8,0
59,0,2021-06-20,4,0
60,1,2021-06-21,46,0.0217391304347826
61,3,2021-06-22,68,0.0441176470588235
62,1,2021-06-23,29,0.0344827586206897
125,1,2021-08-25,3,0.333333333333333
126,9,2021-08-26,21,0.428571428571429
127,1,2021-08-27,18,0.0555555555555556
128,2,2021-08-28,29,0.0689655172413793
129,2,2021-08-29,40,0.05
130,5,2021-08-30,83,0.0602409638554217
131,8,2021-08-31,57,0.140350877192982
